                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4159,                 3.9055,                 2.0956,                0.00289,                0.62162,                0.02494,                0.00481,                 3.0563,                 5.4859,                  2.508,                0.00016,                0.00016,                0.00016
                      2,                  2.343,                 3.7425,                 2.1163,                0.00239,                0.51351,                0.05221,                0.00926,                 2.9871,                 5.4369,                 2.2898,             0.00031756,             0.00031756,             0.00031756
                      3,                 2.1397,                 3.2003,                 1.9445,                0.00239,                0.51351,                0.04252,                0.00666,                 2.9356,                 5.2392,                 2.3058,             0.00045136,             0.00045136,             0.00045136
                      4,                 2.1507,                 2.9861,                 1.8983,                0.00283,                0.60811,                0.00975,                0.00249,                 2.8927,                 4.9508,                 2.4109,              0.0005614,              0.0005614,              0.0005614
                      5,                  2.009,                 3.0013,                 1.7956,                0.00321,                0.68919,                0.01485,                0.00422,                 2.7219,                 4.7218,                 2.3612,             0.00064768,             0.00064768,             0.00064768
                      6,                 2.2178,                 3.4988,                 2.0728,                0.00289,                0.62162,                0.00451,                0.00154,                 2.5685,                 4.7903,                 2.2835,              0.0007102,              0.0007102,              0.0007102
                      7,                 2.1923,                  3.662,                  1.939,                0.00296,                0.63514,                0.00828,                0.00296,                 2.7582,                 4.8749,                 2.3424,             0.00074896,             0.00074896,             0.00074896
                      8,                 2.2768,                 3.4909,                 2.0281,                0.06997,                0.02703,                0.01604,                0.00696,                 2.7382,                 4.9558,                 2.3939,             0.00076396,             0.00076396,             0.00076396
                      9,                 2.1067,                 3.3029,                 1.9236,                0.17564,                0.04054,                0.02417,                 0.0076,                 2.7462,                 4.8337,                 2.5143,              0.0007552,              0.0007552,              0.0007552
                     10,                 2.1875,                 3.2958,                 1.9676,                0.22256,                0.04054,                0.03957,                0.01481,                 2.7174,                 4.8091,                 2.3887,             0.00072268,             0.00072268,             0.00072268
                     11,                 2.3142,                 3.4078,                 2.1082,                0.11183,                0.04054,                0.02512,                0.00834,                 2.7045,                 4.6423,                 2.3011,              0.0006664,              0.0006664,              0.0006664
                     12,                  2.338,                  3.404,                 2.0426,                0.11764,                0.08108,                0.04204,                0.01612,                 2.6194,                 4.5021,                 2.2455,               0.000548,               0.000548,               0.000548
                     13,                  2.063,                 3.1804,                 1.8561,                 0.1573,                0.13514,                0.07155,                 0.0348,                 2.6432,                 4.4657,                 2.2237,               0.000548,               0.000548,               0.000548
                     14,                 2.0054,                 3.0638,                 1.8058,                0.21761,                0.10811,                0.10837,                0.04865,                 2.5569,                 4.2616,                  2.135,               0.000416,               0.000416,               0.000416
                     15,                 1.9834,                 3.0453,                 1.8427,                0.25332,                0.12162,                0.11049,                0.04482,                 2.5232,                 4.3227,                 2.0484,               0.000284,               0.000284,               0.000284
